environment,algorithm,seed,iteration,loss,l1_dist,n_modes_found,n_terminating_states
original,LogPartitionVarianceGFlowNet,14,52,0.7597548961639404,0.004417754244059324,3,1664
original,LogPartitionVarianceGFlowNet,14,53,1.0152702331542969,0.004417754244059324,3,1696
original,LogPartitionVarianceGFlowNet,14,54,0.4101994037628174,0.004417754244059324,3,1728
original,LogPartitionVarianceGFlowNet,14,55,0.42323872447013855,0.004417754244059324,3,1760
original,LogPartitionVarianceGFlowNet,14,56,1.4095938205718994,0.004417754244059324,3,1792
original,LogPartitionVarianceGFlowNet,14,57,0.5579671263694763,0.004417754244059324,3,1824
original,LogPartitionVarianceGFlowNet,14,58,0.42370903491973877,0.004417754244059324,3,1856
original,LogPartitionVarianceGFlowNet,14,59,0.40344130992889404,0.004417754244059324,3,1888
original,LogPartitionVarianceGFlowNet,14,60,0.6053808927536011,0.004417754244059324,3,1920
original,LogPartitionVarianceGFlowNet,14,61,0.7475194931030273,0.004417754244059324,3,1952
original,LogPartitionVarianceGFlowNet,14,62,0.8041082620620728,0.004417754244059324,3,1984
original,LogPartitionVarianceGFlowNet,14,63,0.9595494270324707,0.004417754244059324,4,2016
original,LogPartitionVarianceGFlowNet,14,64,0.8203917741775513,0.004417754244059324,4,2048
original,LogPartitionVarianceGFlowNet,14,65,1.173696517944336,0.004417754244059324,4,2080
original,LogPartitionVarianceGFlowNet,14,66,0.6013590097427368,0.004417754244059324,4,2112
original,LogPartitionVarianceGFlowNet,14,67,0.8438632488250732,0.004417754244059324,4,2144
original,LogPartitionVarianceGFlowNet,14,68,0.9822512865066528,0.004417754244059324,4,2176
original,LogPartitionVarianceGFlowNet,14,69,0.8294876217842102,0.004417754244059324,4,2208
original,LogPartitionVarianceGFlowNet,14,70,0.7465741634368896,0.004417754244059324,4,2240
original,LogPartitionVarianceGFlowNet,14,71,1.2859470844268799,0.004417754244059324,4,2272
original,LogPartitionVarianceGFlowNet,14,72,0.6467816829681396,0.004417754244059324,4,2304
original,LogPartitionVarianceGFlowNet,14,73,0.3693650960922241,0.004417754244059324,4,2336
original,LogPartitionVarianceGFlowNet,14,74,0.696999192237854,0.004417754244059324,4,2368
original,LogPartitionVarianceGFlowNet,14,75,0.4645882248878479,0.0035836752504110336,4,2400
original,LogPartitionVarianceGFlowNet,14,76,0.7468037605285645,0.0035836752504110336,4,2432
original,LogPartitionVarianceGFlowNet,14,77,1.3869116306304932,0.0035836752504110336,4,2464
original,LogPartitionVarianceGFlowNet,14,78,0.8825615048408508,0.0035836752504110336,4,2496
original,LogPartitionVarianceGFlowNet,14,79,0.4218708872795105,0.0035836752504110336,4,2528
original,LogPartitionVarianceGFlowNet,14,80,0.7889739274978638,0.0035836752504110336,4,2560
original,LogPartitionVarianceGFlowNet,14,81,1.2147119045257568,0.0035836752504110336,4,2592
original,LogPartitionVarianceGFlowNet,14,82,0.72649085521698,0.0035836752504110336,4,2624
original,LogPartitionVarianceGFlowNet,14,83,0.7239230275154114,0.0035836752504110336,4,2656
